"bill_id","bill_title","year","state","final_raw","introduced_raw","final_html_code_type","final_text","introduced_text","final_amended_out","final_same_as_introduced","mime_type_final","filetype","url_text_final","file_name"
15(5)  ENFORCING THE VOTER IDENTIFICATION PROVISIONS OF 16SECTIONS 1302.2(B) AND 1302.2-D.
17(6)  PRE-CANVASSING AND CANVASSING OF ABSENTEE BALLOTS 18AND MAIL-IN BALLOTS UNDER SECTION 1308.
19(B)  POSTING.--THE CERTIFICATION BY EACH COUNTY UNDER 20 SUBSECTION (A) SHALL BE POSTED ON THE DEPARTMENT OF STATE'S 21 PUBLICLY ACCESSIBLE INTERNET WEBSITE.
SECTION 3.  THE ACT IS AMENDED BY ADDING A SECTION TO READ:
SECTION 1855.  VIOLATION OF PUBLIC FUNDING OF ELECTIONS.--ANY 24 PERSON WHO VIOLATES SECTION 107 SHALL BE GUILTY OF A MISDEMEANOR 
OF THE SECOND DEGREE AND SHALL, UPON CONVICTION THEREOF, BE 
SENTENCED TO PAY A FINE NOT EXCEEDING FIVE THOUSAND DOLLARS 
($5,000), OR TO UNDERGO AN IMPRISONMENT OF NOT MORE THAN TWO (2) YEARS, OR BOTH, IN THE DISCRETION OF THE COURT.
SECTION 4.  THIS ACT SHALL TAKE EFFECT AS FOLLOWS:
(1)  THE ADDITION OF SECTIONS 107 AND 1855 OF THE ACT 

SHALL TAKE EFFECT IN 60 DAYS.
(2)  THE REMAINDER OF THIS ACT SHALL TAKE EFFECT 
IMMEDIATELY.",NA,NA,NA,NA,"pdf","https://legiscan.com/PA/text/SB982/id/2600779","Pennsylvania-2021-SB982-Amended.docx"
1343926,"KY H 457",NA,NA,NA,NA,NA,"AN ACT relating to election precinct boundaries and declaring an emergency.
Be it enacted by the General Assembly of the Commonwealth of Kentucky:
🢂Section 1.  KRS 117.056 is amended to read as follows:
(1)The provisions of KRS 117.055 notwithstanding, the county boards of elections
shall maintain the boundaries of election precincts from January 1 of each
year ending in ""0"" until the termination of the next following regular or
extraordinary session of the General Assembly which enacts congressional and state
legislative redistricting legislation following receipt of the decennial United States
Census of Population.
(2)If any county board of elections fails to perform the duty placed upon it by
subsection (1) of this section, the State Board of Elections shall apply to the Circuit
Court of the county for a writ of mandamus requiring the county board to perform
this duty.
🢂Section 2.Whereas it is important for the Commonwealth to receive the benefit
of its participation in Phase 2 of the 2020 Census Redistricting Data Program under Pub.
L. No. 94-171, an emergency is declared to exist, and this Act takes effect upon its
passage and approval by the Governor or upon its otherwise becoming a law.",NA,NA,NA,NA,"pdf","https://legiscan.com/KY/text/HB457/id/2164967","Kentucky-2020-HB457-Engrossed.docx"
1553640,"CO SM 1",NA,NA,NA,NA,NA,"NOTE: This bill has been prepared for the signatures of the appropriate legislative officers and the Governor. To determine whether the Governor has signed the bill or taken other action on it, please consult the legislative status sheet, the legislative history, or the Session Laws.
159409143787




SENATE BILL 22-001


BY SENATOR(S) Buckner and Hinrichsen, Bridges, Coleman, Danielson, Fields, Ginal, Gonzales, Hansen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Story, Winter, Zenzinger, Fenberg;
also REPRESENTATIVE(S) Ricks and Tipper, Bird, Boesenecker, Duran, Exum, Hooton, Jodeh, Lindsay, Lontine, McCluskie, Michaelson Jenet, Ortiz, Titone, Weissman, Garnett.


Concerning crime prevention through safer streets utilizing design management strategies, and, in connection therewith, making an appropriation.


Be it enacted by the General Assembly of the State of Colorado:

SECTION 1. In Colorado Revised Statutes, add 24-33.5-117 as follows:

24-33.5-117. Crime prevention through safer streets grant program - created - committee - reports - repeal. (1) There is created in the department the crime prevention through safer streets
grant program, referred to in this section as the ""grant program"". The grant program allows the department and local governments to evaluate and design safer streets and neighborhood models

1463028222158
Capital letters or bold & italic numbers indicate new material added to existing law; dashes through words or numbers indicate deletions from existing law and such material is not part of the act.

that discourage crime, revitalize community image, and establish place-specific crime prevention strategies that account for geographic, cultural, economic, and social characteristics of the target areas. The department shall administer the grant program pursuant to this section. Subject to available appropriations, the department may provide technical assistance to agencies interested in submitting responsive proposals. After areas where crime is more prevalent are identified, local governmental agencies may submit a grant application to the department for a grant to pay for improvements designed to decrease the incidence of crime and create safer streets. A local governmental agency may partner with a community-based nonprofit organization to submit a joint application to the department for a grant to pay for improvements designed to decrease the incidence of crime and create safer streets. Such improvements may include:

BETTER LIGHTING;

IMPROVED TRASH COLLECTION;

ACCESS CONTROL;

TERRITORIAL REINFORCEMENT; AND

IMPROVED SPACE MANAGEMENT.

The department shall develop policies and procedures:

FOR LOCAL GOVERNMENTAL AGENCIES TO SUBMIT RESPONSES TO THE REQUESTS FOR PROPOSALS AND GRANT APPLICATIONS TO GUIDE LOCAL GOVERNMENTAL AGENCIES IN THEIR APPLICATIONS FOR GRANTS;

ENSURING THAT MONEY FROM THE GRANT AWARD IS NOT USED
FOR:

Hiring law enforcement or code enforcement personnel or peace officers;

Facial recognition purposes; or

Surveillance programs that utilize networks of sensors to detect gunshots, commonly referred to as a ""ShotSpotter"" program;

ENSURING THAT MONEY FROM THE GRANT AWARD ENHANCES COMMUNITY SAFETY BOTH INSIDE AND OUTSIDE OF URBAN AREAS; AND

RELATED TO HOW MONEY IS DISBURSED TO AGENCIES.

All grant applications must address:

THE TARGET AREA AND CRIME CHALLENGE THE APPLICANT HOPES TO ADDRESS;

DATA REGARDING THE INCIDENCE OF CRIME IN THE TARGET AREA, DISAGGREGATED BY THE TYPE OF CRIME, AND DEMOGRAPHIC DATA;

THE SPECIFIC PROJECTS THE GRANT WOULD FUND;

